±â¿Â,½Àµµ,Ç³Çâ,Ç³¼Ó,»êºÒ
19.6,19,270,4.8,1
15.5,16,270,3.2,1
30.2,19,250,3.4,1
2.7,15,290,4.4,1
15,89,0,0.4,1
22.6,22,110,5.3,1
0.4,16,270,4.9,1
17.8,13,250,2.7,1
16.6,17,140,5.2,1
11.3,12,160,1,1
9.9,29,290,3.3,1
12.7,12,290,4.7,1
7.1,50,140,4.5,1
8.4,19,270,7.8,1
17.3,29,320,1.2,1
12.4,45,160,0.7,1
9.1,32,270,4.3,1
13.8,31,290,2.2,1
14.3,66,270,0.9,1
14.5,44,90,0.7,1
-0.5,31,290,2.1,1
28.3,18,250,4.2,1
30.7,29,290,2.2,1
16.2,37,290,2.4,1
16.9,16,230,3.3,1
12.7,79,0,0.1,1
8.1,20,290,4.9,1
5.7,32,250,2.8,1
19.9,33,290,3.7,1
10.3,17,270,6.4,1
25.1,21,230,2.2,1
21,18,160,1.3,1
4.7,29,50,2.1,1
10.2,31,230,1.5,1
-4.3,49,290,3,1
20.1,39,90,1.5,1
23.9,12,290,3.4,1
18.1,11,140,5.6,1
6.3,29,270,4.8,1
8.7,13,290,3.1,1
28.8,37,110,2.3,1
11.6,29,290,3,1
18.6,15,270,3.2,1
26.5,26,320,3.6,1
24.3,17,270,3.5,1
21.6,13,200,1.9,1
18.5,17,290,4.3,1
3.7,20,290,3.9,1
12,16,320,3.5,1
9.5,50,290,1.2,1
23.6,42,90,3.3,1
-6.4,46,290,4.2,1
13.2,32,270,2.2,1
8.7,35,250,4.7,1
25,46,290,1.6,1
16.2,14,250,1.5,1
13.4,12,290,4,1
10.2,65,140,0.5,1
19.9,19,290,4.7,1
1.5,28,290,2.9,1
9.7,29,270,5.1,1
23.2,28,270,4,1
14.8,23,270,1.3,1
8.8,32,180,1.2,1
5.8,18,270,4,1
11.3,42,270,1.4,1
18.5,60,0,0.4,1
27.1,66,140,0.7,1
28,38,360,1.1,1
28.4,15,270,3.4,1
18,14,250,1.2,1
10.4,16,290,6.9,1
9.5,17,290,3.9,1
2.9,71,160,0.9,1
5.4,62,110,3.2,1
26.5,25,270,3.9,1
26.4,39,360,1.6,1
19.6,35,160,4.4,1
14.3,15,160,3.3,1
12.3,15,270,4.2,1
6.9,42,110,3.9,1
25.9,16,290,2.8,1
